Id,SalePrice
1461,120492.31382430968
1462,155776.82509725908
1463,176107.41063343995
1464,205229.50487303996
1465,200367.27552651026
1466,177848.34063854464
1467,199625.558233678
1468,169824.02042165888
1469,207582.25412533758
1470,113184.55830127874
1471,218984.83865416003
1472,106516.5809183321
1473,97794.23498962243
1474,151757.82281629113
1475,106358.22663750697
1476,313217.4313515737
1477,241620.06135418284
1478,277066.48992822366
1479,260684.36638952838
1480,383222.61142215633
1481,299519.2405746196
1482,208004.02301436104
1483,178362.3260116002
1484,185180.4760604198
1485,198851.145143257
1486,209505.9593699425
1487,298268.4808060182
1488,255959.44469187543
1489,196641.47926071647
1490,232500.76496257127
1491,216119.044779945
1492,97449.39878364239
1493,210084.23846476892
1494,275703.511951527
1495,281326.3943714297
1496,239065.66691412235
1497,175053.26772055554
1498,155908.26204550092
1499,152009.11514834076
1500,151805.91250765038
1501,152608.17133248487
1502,153673.11521226034
1503,290032.40512025554
1504,248936.1943050538
1505,226880.25378181867
1506,208651.28259126178
1507,249505.2218945414
1508,208665.62497900077
1509,165771.9626833942
1510,140538.64215950342
1511,142137.802519596
1512,180234.1397108212
1513,168082.44716212078
1514,163697.40598051366
1515,215757.1228773183
1516,150717.9608526993
1517,157610.4804134026
1518,128921.33626981155
1519,234183.8093027558
1520,118069.33463026088
1521,115540.29125561682
1522,183072.18277127296
1523,79174.6061150746
1524,106493.0959087077
1525,95566.90244595305
1526,93148.80624293338
1527,84370.1721456151
1528,139393.37747466366
1529,122743.32524676173
1530,235572.21964675275
1531,116054.72085456375
1532,120885.11652309872
1533,143700.8269947279
1534,115750.80660806317
1535,156058.33438551228
1536,103828.04581817571
1537,25044.914959965914
1538,190307.7827463104
1539,218124.23385636433
1540,117324.74452827428
1541,155437.15432447963
1542,128694.43882415141
1543,185284.58488241176
1544,70164.02062613814
1545,126527.73150362453
1546,142535.61102721875
1547,120151.44100810587
1548,150609.46474177978
1549,123848.86623685283
1550,135204.9867048887
1551,135769.9633106758
1552,121993.78984092298
1553,163082.98025765893
1554,114817.14676317183
1555,151704.06363342394
1556,69126.60002222401
1557,79513.4574693747
1558,88743.92446096701
1559,81797.71436184627
1560,137114.5494854891
1561,129530.29721553402
1562,110810.77588456887
1563,113696.37536878331
1564,163088.7679589701
1565,134443.47663529433
1566,248848.43902865122
1567,61569.12089962588
1568,227473.4099857984
1569,97456.85995310015
1570,133309.6434848652
1571,101633.47816189326
1572,140884.25644533522
1573,261026.206307307
1574,121876.03134815977
1575,247490.59722580318
1576,272121.3856595806
1577,193348.01128040336
1578,143481.39805913024
1579,136855.8825107544
1580,205301.43428303645
1581,130554.11403489643
1582,130215.42175985104
1583,306564.40504680923
1584,232899.3608630338
1585,165149.25929351698
1586,24417.088959215907
1587,91018.0306832915
1588,144941.09565517772
1589,102086.61592779198
1590,140354.00925606565
1591,65349.856432384695
1592,129835.99125920678
1593,132475.70663943654
1594,145715.2148516014
1595,113791.10715876106
1596,196442.14829397376
1597,161316.5140542701
1598,200271.79554326116
1599,205491.4986163827
1600,193190.3431527281
1601,33056.252155136375
1602,130261.74572522484
1603,54428.53100038861
1604,266357.4046566591
1605,265149.72196451505
1606,178406.30994401436
1607,194016.609791164
1608,213621.52954997454
1609,200565.29058231425
1610,142251.84052268486
1611,155870.39282426558
1612,178757.6923699666
1613,171238.61723222065
1614,130274.78640136437
1615,76663.0599097492
1616,58014.460308092064
1617,63862.2878540745
1618,105162.13326728297
1619,143827.873890183
1620,181556.92625979567
1621,131390.59640793572
1622,143447.4270401594
1623,265712.4141199826
1624,215428.4982238994
1625,118125.12656699808
1626,186867.77053303516
1627,192253.32910016493
1628,286580.7859279548
1629,191107.29023360863
1630,349765.87353218463
1631,227736.20127726218
1632,244360.54829676735
1633,190838.96911695116
1634,194684.97567475954
1635,177065.87013958627
1636,160154.6373627056
1637,186142.18112551316
1638,215687.68565245095
1639,226299.60586312995
1640,254692.14609794068
1641,208571.9032031899
1642,233062.94881991344
1643,233734.24704414647
1644,229516.39422407158
1645,241357.775648773
1646,180293.84837586933
1647,174463.2319152697
1648,142261.2358506092
1649,112693.84460118384
1650,113201.67492402159
1651,107653.51575130067
1652,105909.93187625246
1653,100981.38651027961
1654,145246.34391096618
1655,143149.9815756341
1656,127146.48424612661
1657,144949.2351847263
1658,137057.0494369642
1659,128207.58781992237
1660,150918.72400228074
1661,359131.064229788
1662,331705.1913459521
1663,322534.9300663349
1664,414922.25771413895
1665,278089.46279326023
1666,300779.3819500903
1667,305159.62479758204
1668,305461.1244051473
1669,286844.54849443433
1670,306347.5644735695
1671,247453.12738589942
1672,361722.1415179961
1673,274672.7064133397
1674,239347.30759194464
1675,183574.19920565997
1676,190679.83862089633
1677,203078.604039267
1678,400137.42839293415
1679,318856.52268415526
1680,284322.3209157898
1681,236498.55855388817
1682,285311.658726519
1683,187214.10234202328
1684,196984.87830199342
1685,186155.79422590666
1686,187105.18954805663
1687,174260.9256512316
1688,201331.81120146427
1689,210951.08660512156
1690,209644.43178446894
1691,199286.77370124654
1692,268925.55539576046
1693,184856.19689281582
1694,191111.6147678407
1695,182842.22749365884
1696,273320.7863844236
